date,day_weather,night_weather,max_temp,min_temp,day_wind,night_wind
2022-01-01,多云 ,  多云,7℃ , -7℃,北风 5-6级 , 北风 5-6级
2022-01-02,晴 ,  多云,0℃ , -7℃,北风 3-4级 , 北风 3-4级
2022-01-03,多云 ,  晴,4℃ , -6℃,西风 4-5级 , 西风 4-5级
2022-01-04,晴 ,  多云,0℃ , -5℃,东北风 3-4级 , 东北风 3-4级
2022-01-05,多云 ,  晴,1℃ , -4℃,西风 4-5级 , 西风 4-5级
2022-01-06,晴 ,  晴,0℃ , -5℃,北风 4-5级 , 北风 4-5级
2022-01-07,晴 ,  晴,5℃ , -3℃,西南风 4-5级 , 西南风 4-5级
2022-01-08,晴 ,  晴,4℃ , -5℃,西风 4-5级 , 西风 4-5级
2022-01-09,多云 ,  多云,0℃ , -5℃,北风 3-4级 , 北风 3-4级
2022-01-10,阴 ,  晴,-2℃ , -8℃,北风 4-5级 , 北风 4-5级
2022-01-11,晴 ,  多云,-5℃ , -9℃,北风 4-5级 , 北风 4-5级
2022-01-12,小到中雪 ,  多云,-1℃ , -7℃,北风 4-5级 , 北风 4-5级
2022-01-13,晴 ,  晴,-2℃ , -7℃,北风 4-5级 , 北风 4-5级
2022-01-14,晴 ,  多云,4℃ , -3℃,西南风 4-5级 , 西南风 4-5级
2022-01-15,多云 ,  晴,4℃ , -7℃,北风 4-5级 , 北风 4-5级
2022-01-16,晴 ,  晴,-1℃ , -8℃,北风 3-4级 , 北风 3-4级
2022-01-17,晴 ,  晴,-1℃ , -8℃,北风 4-5级 , 北风 4-5级
2022-01-18,多云 ,  小雪,2℃ , -7℃,南风 4-5级 , 南风 4-5级
2022-01-19,多云 ,  晴,-7℃ , -12℃,北风 5-6级 , 北风 5-6级
2022-01-20,晴 ,  晴,-5℃ , -11℃,北风 4-5级 , 北风 4-5级
2022-01-21,多云 ,  小雪,-2℃ , -8℃,北风 3-4级 , 北风 3-4级
2022-01-22,小雪 ,  多云,0℃ , -6℃,北风 4-5级 , 北风 4-5级
2022-01-23,晴 ,  晴,-2℃ , -6℃,北风 4-5级 , 北风 4-5级
2022-01-24,多云 ,  多云,-2℃ , -6℃,北风 4-5级 , 北风 4-5级
