title,authors,year,conference,url
Balancing Spreads of Influence in a Social Network.,"Ruben Becker, Federico Corò, Gianlorenzo D'Angelo, Hugo Gilbert",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5327
MultiSumm: Towards a Unified Model for Multi-Lingual Abstractive Summarization.,"Yue Cao, Xiaojun Wan, Jin-ge Yao, Dian Yu",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5328
Efficient Heterogeneous Collaborative Filtering without Negative Sampling for Recommendation.,"Chong Chen, Min Zhang, Yongfeng Zhang, Weizhi Ma, Yiqun Liu, Shaoping Ma",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5329
Revisiting Graph Based Collaborative Filtering: A Linear Residual Graph Convolutional Network Approach.,"Lei Chen, Le Wu, Richang Hong, Kun Zhang, Meng Wang",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5330
Question-Driven Purchasing Propensity Analysis for Recommendation.,"Long Chen, Ziyu Guan, Qibin Xu, Qiong Zhang, Huan Sun, Guangyue Lu, Deng Cai",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5331
Gradient Method for Continuous Influence Maximization with Budget-Saving Considerations.,"Wei Chen, Weizhong Zhang, Haoyu Zhao",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5332
Norm-Explicit Quantization: Improving Vector Quantization for Maximum Inner Product Search.,"Xinyan Dai, Xiao Yan, Kelvin Kai Wing Ng, Jiu Liu, James Cheng",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5333
Modeling Fluency and Faithfulness for Diverse Neural Machine Translation.,"Yang Feng, Wanying Xie, Shuhao Gu, Chenze Shao, Wen Zhang, Zhengxin Yang, Dong Yu",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5334
Leveraging Title-Abstract Attentive Semantics for Paper Recommendation.,"Guibing Guo, Bowei Chen, Xiaoyan Zhang, Zhirong Liu, Zhenhua Dong, Xiuqiang He",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5335
Preserving Ordinal Consensus: Towards Feature Selection for Unlabeled Data.,"Jun Guo, Heng Chang, Wenwu Zhu",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5336
An Attentional Recurrent Neural Network for Personalized Next Location Recommendation.,"Qing Guo, Zhu Sun, Jie Zhang, Yin-Leng Theng",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5337
Re-Attention for Visual Question Answering.,"Wenya Guo, Ying Zhang, Xiaoping Wu, Jufeng Yang, Xiangrui Cai, Xiaojie Yuan",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5338
Semi-Supervised Multi-Modal Learning with Balanced Spectral Decomposition.,"Peng Hu, Hongyuan Zhu, Xi Peng, Jie Lin",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5339
MuMod: A Micro-Unit Connection Approach for Hybrid-Order Community Detection.,"Ling Huang, Hong-Yang Chao, Guangqiang Xie",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5340
Cross-Lingual Pre-Training Based Transfer for Zero-Shot Neural Machine Translation.,"Baijun Ji, Zhirui Zhang, Xiangyu Duan, Min Zhang, Boxing Chen, Weihua Luo",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5341
Functionality Discovery and Prediction of Physical Objects.,"Lei Ji, Botian Shi, Xianglin Guo, Xilin Chen",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5342
True Nonlinear Dynamics from Incomplete Networks.,"Chunheng Jiang, Jianxi Gao, Malik Magdon-Ismail",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5343
Understanding and Improving Proximity Graph Based Maximum Inner Product Search.,"Jie Liu, Xiao Yan, Xinyan Dai, Zhirong Li, James Cheng, Ming-Chang Yang",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5344
Type-Aware Anchor Link Prediction across Heterogeneous Networks Based on Graph Attention Network.,"Xiaoxue Li, Yanmin Shang, Yanan Cao, Yangxi Li, Jianlong Tan, Yanbing Liu",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5345
Deep Match to Rank Model for Personalized Click-Through Rate Prediction.,"Zequn Lyu, Yu Dong, Chengfu Huo, Weijun Ren",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5346
Modality to Modality Translation: An Adversarial Representation Learning and Graph Fusion Network for Multimodal Fusion.,"Sijie Mai, Haifeng Hu, Songlong Xing",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5347
A Variational Point Process Model for Social Event Sequences.,"Zhen Pan, Zhenya Huang, Defu Lian, Enhong Chen",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5348
Fair Updates in Two-Sided Market Platforms: On Incrementally Updating Recommendations.,"Gourab K. Patro, Abhijnan Chakraborty, Niloy Ganguly, Krishna P. Gummadi",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5349
Towards Comprehensive Recommender Systems: Time-Aware Unified Recommendations Based on Listwise Ranking of Implicit Cross-Network Data.,"Dilruk Perera, Roger Zimmermann",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5350
Minimizing the Bag-of-Ngrams Difference for Non-Autoregressive Neural Machine Translation.,"Chenze Shao, Jinchao Zhang, Yang Feng, Fandong Meng, Jie Zhou",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5351
PEIA: Personality and Emotion Integrated Attentive Model for Music Recommendation on Social Media Platforms.,"Tiancheng Shen, Jia Jia, Yan Li, Yihui Ma, Yaohua Bu, Hanjie Wang, Bo Chen, Tat-Seng Chua, Wendy Hall",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5352
Where to Go Next: Modeling Long- and Short-Term User Preferences for Point-of-Interest Recommendation.,"Ke Sun, Tieyun Qian, Tong Chen, Yile Liang, Quoc Viet Hung Nguyen, Hongzhi Yin",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5353
Knowledge Graph Alignment Network with Gated Multi-Hop Neighborhood Aggregation.,"Zequn Sun, Chengming Wang, Wei Hu, Muhao Chen, Jian Dai, Wei Zhang, Yuzhong Qu",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5354
Learning with Unsure Responses.,"Kunihiro Takeoka, Yuyang Dong, Masafumi Oyamada",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5355
Author Name Disambiguation on Heterogeneous Information Network with Adversarial Representation Learning.,"Haiwen Wang, Ruijie Wang, Chuan Wen, Shuhao Li, Yuting Jia, Weinan Zhang, Xinbing Wang",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5356
Social Influence Does Matter: User Action Prediction for In-Feed Advertising.,"Hongyang Wang, Qingfei Meng, Ju Fan, Yuchen Li, Laizhong Cui, Xiaoman Zhao, Chong Peng, Gong Chen, Xiaoyong Du",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5357
Mining Unfollow Behavior in Large-Scale Online Social Networks via Spatial-Temporal Interaction.,"Haozhe Wu, Zhiyuan Hu, Jia Jia, Yaohua Bu, Xiangnan He, Tat-Seng Chua",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5358
Who Likes What? - SplitLBI in Exploring Preferential Diversity of Ratings.,"Qianqian Xu, Jiechao Xiong, Zhiyong Yang, Xiaochun Cao, Qingming Huang, Yuan Yao",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5359
Multi-Feature Discrete Collaborative Filtering for Fast Cold-Start Recommendation.,"Yang Xu, Lei Zhu, Zhiyong Cheng, Jingjing Li, Jiande Sun",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5360
Cross-Modal Attention Network for Temporal Inconsistent Audio-Visual Event Localization.,"Hanyu Xuan, Zhenyu Zhang, Shuo Chen, Jian Yang, Yan Yan",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5361
Learning to Match on Graph for Fashion Compatibility Modeling.,"Xun Yang, Xiaoyu Du, Meng Wang",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5362
D2D-LSTM: LSTM-Based Path Prediction of Content Diffusion Tree in Device-to-Device Social Networks.,"Heng Zhang, Xiaofei Wang, Jiawen Chen, Chenyang Wang, Jianxin Li",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5363
An End-to-End Visual-Audio Attention Network for Emotion Recognition in User-Generated Videos.,"Sicheng Zhao, Yunsheng Ma, Yang Gu, Jufeng Yang, Tengfei Xing, Pengfei Xu, Runbo Hu, Hua Chai, Kurt Keutzer",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5364
Multi-Channel Reverse Dictionary Model.,"Lei Zheng, Fanchao Qi, Zhiyuan Liu, Yasheng Wang, Qun Liu, Maosong Sun",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5365
Table2Analysis: Modeling and Recommendation of Common Analysis Patterns for Multi-Dimensional Data.,"Mengyu Zhou, Wang Tao, Pengxin Ji, Han Shi, Dongmei Zhang",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5366
A Recurrent Model for Collective Entity Linking with Adaptive Features.,"Xiaoling Zhou, Yukai Miao, Wei Wang, Jianbin Qin",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5367
FairyTED: A Fair Rating Predictor for TED Talk Data.,"Rupam Acharyya, Shouman Das, Ankani Chattoraj, Md. Iftekhar Tanveer",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5368
"Crisis-DIAS: Towards Multimodal Damage Analysis - Deployment, Challenges and Assessment.","Mansi Agarwal, Maitree Leekha, Ramit Sawhney, Rajiv Ratn Shah",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5369
Unsupervised Detection of Sub-Events in Large Scale Disasters.,"Chidubem Arachie, Manas Gaur, Sam Anzaroot, William Groves, Ke Zhang, Alejandro Jaimes",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5370
Spatio-Temporal Attention-Based Neural Network for Credit Card Fraud Detection.,"Dawei Cheng, Sheng Xiang, Chencheng Shang, Yiyi Zhang, Fangzhou Yang, Liqing Zhang",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5371
Tracking Disaster Footprints with Social Streaming Data.,"Lu Cheng, Jundong Li, K. Selçuk Candan, Huan Liu",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5372
Detecting and Tracking Communal Bird Roosts in Weather Radar Data.,"Zezhou Cheng, Saadia Gabriel, Pankaj Bhambhani, Daniel Sheldon, Subhransu Maji, Andrew Laughlin, David Winkler",2020,AAAI,https://doi.org/10.1609/aaai.v34i01.5373
