title,authors,year,conference,url
Unsupervised Learning of Probably Symmetric Deformable 3D Objects From Images in the Wild.,"Shangzhe Wu, Christian Rupprecht, Andrea Vedaldi",2020,CVPR,https://openaccess.thecvf.com/content_CVPR_2020/html/Wu_Unsupervised_Learning_of_Probably_Symmetric_Deformable_3D_Objects_From_Images_CVPR_2020_paper.html
Footprints and Free Space From a Single Color Image.,"Jamie Watson, Michael Firman, Áron Monszpart, Gabriel J. Brostow",2020,CVPR,https://openaccess.thecvf.com/content_CVPR_2020/html/Watson_Footprints_and_Free_Space_From_a_Single_Color_Image_CVPR_2020_paper.html
Dynamic Fluid Surface Reconstruction Using Deep Neural Network.,"Simron Thapa, Nianyi Li, Jinwei Ye",2020,CVPR,https://openaccess.thecvf.com/content_CVPR_2020/html/Thapa_Dynamic_Fluid_Surface_Reconstruction_Using_Deep_Neural_Network_CVPR_2020_paper.html
CvxNet: Learnable Convex Decomposition.,"Boyang Deng, Kyle Genova, Soroosh Yazdani, Sofien Bouaziz, Geoffrey E. Hinton, Andrea Tagliasacchi",2020,CVPR,https://openaccess.thecvf.com/content_CVPR_2020/html/Deng_CvxNet_Learnable_Convex_Decomposition_CVPR_2020_paper.html
BSP-Net: Generating Compact Meshes via Binary Space Partitioning.,"Zhiqin Chen, Andrea Tagliasacchi, Hao Zhang",2020,CVPR,https://openaccess.thecvf.com/content_CVPR_2020/html/Chen_BSP-Net_Generating_Compact_Meshes_via_Binary_Space_Partitioning_CVPR_2020_paper.html
"Total3DUnderstanding: Joint Layout, Object Pose and Mesh Reconstruction for Indoor Scenes From a Single Image.","Yinyu Nie, Xiaoguang Han, Shihui Guo, Yujian Zheng, Jian Chang, Jian-Jun Zhang",2020,CVPR,https://openaccess.thecvf.com/content_CVPR_2020/html/Nie_Total3DUnderstanding_Joint_Layout_Object_Pose_and_Mesh_Reconstruction_for_Indoor_CVPR_2020_paper.html
Generating and Exploiting Probabilistic Monocular Depth Estimates.,"Zhihao Xia, Patrick Sullivan, Ayan Chakrabarti",2020,CVPR,https://openaccess.thecvf.com/content_CVPR_2020/html/Xia_Generating_and_Exploiting_Probabilistic_Monocular_Depth_Estimates_CVPR_2020_paper.html
Neural Cages for Detail-Preserving 3D Deformations.,"Yifan Wang, Noam Aigerman, Vladimir G. Kim, Siddhartha Chaudhuri, Olga Sorkine-Hornung",2020,CVPR,https://openaccess.thecvf.com/content_CVPR_2020/html/Yifan_Neural_Cages_for_Detail-Preserving_3D_Deformations_CVPR_2020_paper.html
PIFuHD: Multi-Level Pixel-Aligned Implicit Function for High-Resolution 3D Human Digitization.,"Shunsuke Saito, Tomas Simon, Jason M. Saragih, Hanbyul Joo",2020,CVPR,https://openaccess.thecvf.com/content_CVPR_2020/html/Saito_PIFuHD_Multi-Level_Pixel-Aligned_Implicit_Function_for_High-Resolution_3D_Human_Digitization_CVPR_2020_paper.html
A Lighting-Invariant Point Processor for Shading.,"Kathryn Heal, Jialiang Wang, Steven J. Gortler, Todd E. Zickler",2020,CVPR,https://openaccess.thecvf.com/content_CVPR_2020/html/Heal_A_Lighting-Invariant_Point_Processor_for_Shading_CVPR_2020_paper.html
