title,authors,year,conference,url
Selective Dyna-Style Planning Under Limited Model Capacity.,"Zaheer Abbas, Samuel Sokota, Erin Talvitie, Martha White",2020,ICML,http://proceedings.mlr.press/v119/abbas20a.html
A distributional view on multi-objective policy optimization.,"Abbas Abdolmaleki, Sandy H. Huang, Leonard Hasenclever, Michael Neunert, H. Francis Song, Martina Zambelli, Murilo F. Martins, Nicolas Heess, Raia Hadsell, Martin A. Riedmiller",2020,ICML,http://proceedings.mlr.press/v119/abdolmaleki20a.html
Efficient Optimistic Exploration in Linear-Quadratic Regulators via Lagrangian Relaxation.,"Marc Abeille, Alessandro Lazaric",2020,ICML,http://proceedings.mlr.press/v119/abeille20a.html
Super-efficiency of automatic differentiation for functions defined as a minimum.,"Pierre Ablin, Gabriel Peyré, Thomas Moreau",2020,ICML,http://proceedings.mlr.press/v119/ablin20a.html
A Geometric Approach to Archetypal Analysis via Sparse Projections.,"Vinayak Abrol, Pulkit Sharma",2020,ICML,http://proceedings.mlr.press/v119/abrol20a.html
Context Aware Local Differential Privacy.,"Jayadev Acharya, Kallista A. Bonawitz, Peter Kairouz, Daniel Ramage, Ziteng Sun",2020,ICML,http://proceedings.mlr.press/v119/acharya20a.html
Efficient Intervention Design for Causal Discovery with Latents.,"Raghavendra Addanki, Shiva Prasad Kasiviswanathan, Andrew McGregor, Cameron Musco",2020,ICML,http://proceedings.mlr.press/v119/addanki20a.html
The Neural Tangent Kernel in High Dimensions: Triple Descent and a Multi-Scale Theory of Generalization.,"Ben Adlam, Jeffrey Pennington",2020,ICML,http://proceedings.mlr.press/v119/adlam20a.html
Rank Aggregation from Pairwise Comparisons in the Presence of Adversarial Corruptions.,"Arpit Agarwal, Shivani Agarwal, Sanjeev Khanna, Prathamesh Patil",2020,ICML,http://proceedings.mlr.press/v119/agarwal20a.html
Boosting for Control of Dynamical Systems.,"Naman Agarwal, Nataly Brukhim, Elad Hazan, Zhou Lu",2020,ICML,http://proceedings.mlr.press/v119/agarwal20b.html
An Optimistic Perspective on Offline Reinforcement Learning.,"Rishabh Agarwal, Dale Schuurmans, Mohammad Norouzi",2020,ICML,http://proceedings.mlr.press/v119/agarwal20c.html
Optimal Bounds between f-Divergences and Integral Probability Metrics.,"Rohit Agrawal, Thibaut Horel",2020,ICML,http://proceedings.mlr.press/v119/agrawal20a.html
LazyIter: A Fast Algorithm for Counting Markov Equivalent DAGs and Designing Experiments.,"Ali AhmadiTeshnizi, Saber Salehkaleybar, Negar Kiyavash",2020,ICML,http://proceedings.mlr.press/v119/ahmaditeshnizi20a.html
Learning What to Defer for Maximum Independent Sets.,"Sungsoo Ahn, Younggyo Seo, Jinwoo Shin",2020,ICML,http://proceedings.mlr.press/v119/ahn20a.html
Invariant Risk Minimization Games.,"Kartik Ahuja, Karthikeyan Shanmugam, Kush R. Varshney, Amit Dhurandhar",2020,ICML,http://proceedings.mlr.press/v119/ahuja20a.html
Why bigger is not always better: on finite and infinite neural networks.,Laurence Aitchison,2020,ICML,http://proceedings.mlr.press/v119/aitchison20a.html
Discriminative Jackknife: Quantifying Uncertainty in Deep Learning via Higher-Order Influence Functions.,"Ahmed M. Alaa, Mihaela van der Schaar",2020,ICML,http://proceedings.mlr.press/v119/alaa20a.html
