issue,openTime,frontWinningNum,backWinningNum,seqFrontWinningNum,seqBackWinningNum,saleMoney,r9SaleMoney,prizePoolMoney,week
25076,2025-07-07,11 18 22 25 29,04 12,22 25 29 11 18,12 04,306337461,,1612133474.72,星期一
25075,2025-07-05,08 12 16 19 35,06 09,12 35 08 16 19,06 09,327099927,,1627185578.63,星期六
25074,2025-07-02,02 11 15 18 21,05 10,11 18 02 15 21,10 05,304472528,,1661629014.25,星期三
25073,2025-06-30,01 04 17 33 34,03 09,01 17 04 34 33,03 09,306793454,,1695259566.21,星期一
25072,2025-06-28,04 07 15 24 29,01 04,07 04 15 24 29,04 01,337329044,,1739661640.72,星期六
25071,2025-06-25,01 08 25 31 33,05 11,08 01 25 31 33,05 11,313848778,,1743326978.4,星期三
25070,2025-06-23,08 09 15 20 22,04 12,22 09 08 20 15,12 04,312961169,,1718532211.45,星期一
25069,2025-06-21,04 06 07 33 34,09 10,07 04 33 06 34,10 09,338663590,,1677561945.36,星期六
25068,2025-06-18,01 04 17 20 22,04 10,20 04 01 17 22,10 04,318966997,,1628402089.96,星期三
25067,2025-06-16,06 10 12 21 22,01 06,12 22 06 21 10,01 06,321766533,,1588528359.21,星期一
25066,2025-06-14,15 18 27 28 34,03 06,34 27 15 28 18,03 06,339059066,,1579075869.3,星期六
25065,2025-06-11,07 25 32 33 35,04 09,33 25 35 32 07,09 04,322427160,,1539171327.57,星期三
25064,2025-06-09,05 10 18 20 34,01 08,20 18 10 34 05,01 08,328463659,,1534694449.82,星期一
25063,2025-06-07,05 18 26 29 32,07 10,05 29 32 18 26,07 10,353640087,,1482278557.25,星期六
25062,2025-06-04,14 20 27 28 29,06 10,20 28 27 29 14,10 06,331453922,,1525360041.11,星期三
25061,2025-06-02,02 11 16 23 28,05 10,28 02 16 23 11,05 10,326041766,,1489857621.12,星期一
25060,2025-05-31,12 14 19 33 34,01 07,34 12 19 33 14,01 07,344759819,,1530054632.82,星期六
25059,2025-05-28,03 09 10 11 26,01 02,26 10 11 09 03,01 02,330253002,,1472810541.7,星期三
25058,2025-05-26,06 11 15 21 23,01 07,21 11 23 15 06,07 01,337041717,,1457374217.14,星期一
25057,2025-05-24,09 10 11 12 29,01 10,12 10 29 11 09,10 01,379533383,,1415654588.9,星期六
25056,2025-05-21,12 15 28 29 32,08 11,29 32 15 28 12,11 08,354948673,,1375155244.52,星期三
25055,2025-05-19,08 10 25 29 30,01 02,25 29 08 10 30,01 02,373248241,,1329842896.5,星期一
25054,2025-05-17,03 12 16 21 29,01 02,29 16 03 12 21,02 01,400498726,,1305673257.89,星期六
25053,2025-05-14,14 23 29 30 33,06 12,23 29 14 33 30,12 06,378116432,,1281475209.81,星期三
25052,2025-05-12,02 04 11 29 30,02 08,04 29 30 02 11,08 02,384489687,,1261675356.8,星期一
25051,2025-05-10,02 04 13 29 31,05 12,13 29 31 04 02,05 12,402596942,,1208341380.13,星期六
25050,2025-05-07,15 18 20 21 34,04 10,18 21 34 20 15,10 04,380353203,,1220697850,星期三
25049,2025-05-05,09 20 22 29 34,03 08,34 29 22 20 09,08 03,350534405,,1233463084.71,星期一
25048,2025-05-03,02 06 17 23 35,06 11,35 17 23 06 02,06 11,364105069,,1258998703.94,星期六
25047,2025-04-30,03 10 11 12 21,02 03,03 21 12 11 10,02 03,367385544,,1202271493.27,星期三
25046,2025-04-28,04 10 15 20 34,04 07,04 34 15 10 20,07 04,367246953,,1213336580.15,星期一
25045,2025-04-26,08 11 21 23 27,03 08,21 11 27 08 23,08 03,394950774,,1207089477.91,星期六
25044,2025-04-23,15 17 21 22 26,02 08,15 17 26 21 22,02 08,368611600,,1237807812.52,星期三
25043,2025-04-21,03 16 20 21 27,09 11,20 03 21 16 27,09 11,362168053,,1212466180,星期一
25042,2025-04-19,06 08 11 18 20,05 11,20 08 18 06 11,11 05,391234678,,1157421361.54,星期六
25041,2025-04-16,03 04 21 22 27,05 11,21 27 04 22 03,05 11,372136085,,1110680827.71,星期三
25040,2025-04-14,02 08 16 31 32,04 12,31 32 16 02 08,12 04,365388846,,1147506477.45,星期一
25039,2025-04-12,03 07 14 15 19,06 10,07 14 19 15 03,10 06,380283087,,1128975871.01,星期六
25038,2025-04-09,07 08 20 26 34,08 09,26 34 07 20 08,08 09,367355129,,1098668135.56,星期三
25037,2025-04-07,05 20 23 27 31,04 06,31 20 23 27 05,06 04,302429281,,1078059212.16,星期一
25036,2025-04-05,04 07 13 27 30,02 06,07 30 04 13 27,06 02,303323074,,1044099471.36,星期六
25035,2025-04-02,22 25 28 29 30,04 08,30 22 25 28 29,04 08,290834566,,1034539140.28,星期三
25034,2025-03-31,04 15 22 28 33,06 08,15 28 04 33 22,06 08,291102580,,1046884586.45,星期一
25033,2025-03-29,01 02 08 10 33,10 12,08 02 01 33 10,10 12,312033249,,1132503712.27,星期六
25032,2025-03-26,12 22 25 27 28,01 02,22 28 27 25 12,02 01,303333312,,1094382586.2,星期三
