name,wealth,type,company,workplace,gender,age,hometown
张一鸣,49300.0,社交媒体,字节跳动,北京,先生,41,中国-福建-龙岩
钟睒睒,47900.0,饮料、医疗保健,养生堂,浙江杭州,先生,70,中国-浙江-绍兴
马化腾,44400.0,互联网服务,腾讯,广东深圳,先生,53,中国-海南
黄峥,34500.0,购物网站,拼多多,上海长宁,先生,44,中国-浙江-杭州
何享健,33100.0,家电制造,美的,广东佛山,先生,82,中国-广东-佛山
曾毓群,28200.0,锂电池,宁德时代,福建宁德,先生,56,中国-福建-宁德
丁磊,28200.0,互联网技术,网易,浙江杭州,先生,53,中国-浙江-宁波
李嘉诚,28200.0,投资,长江实业,香港,先生,96,中国-香港
李兆基,24600.0,房地产,恒基兆业,香港,先生,96,中国-广东-佛山
马云,23200.0,电子商务、金融科技,阿里系,浙江杭州,先生,60,中国-浙江-杭州
李书福,20400.0,汽车制造,吉利,浙江杭州,先生,61,中国-浙江-台州
严昊,20400.0,基础建设,太平洋建设,新疆乌鲁木齐,先生,38,中国-江苏-淮安
张刚,20400.0,电解铝、氧化铝,信发铝电,山东聊城,先生,43,中国-山东-聊城
李蔡美灵,19700.0,调味品,李锦记,香港,先生,未知,中国-香港
吕向阳,19700.0,投资,融捷,广东广州,先生,61,中国-安徽-芜湖
秦英林,19000.0,畜牧,牧原,河南南阳,先生,59,中国-河南-南阳
王传福,19000.0,汽车、充电电池,比亚迪,广东深圳,先生,58,中国-安徽-芜湖
赵长鹏,19000.0,虚拟货币交易所,币安,美国,先生,47,中国-江苏-连云港
雷军,18300.0,智能硬件与技术、投资,小米,北京,先生,55,中国-湖北-仙桃
陈建华,17600.0,化纤、石化、房地产,恒力,江苏苏州,先生,53,中国-江苏-苏州
张志东,17600.0,互联网服务,腾讯,广东深圳,先生,52,中国-广东-东莞
刘永行,16900.0,氧化铝、重化工、饲料,东方希望,上海浦东,先生,76,中国-四川-成都
王卫,15500.0,快递,顺丰,广东深圳,先生,54,中国-上海
魏建军,15500.0,汽车制造,长城,河北保定,先生,60,中国-河北-保定
郑淑良,15500.0,铝业、纺织,魏桥创业,山东滨州,先生,78,中国-山东
李西廷,14100.0,医疗器械,迈瑞,广东深圳,先生,73,中国-安徽-宿州
党彦宝,13400.0,煤化工,宝丰,宁夏银川,先生,51,
徐航,13400.0,医疗器械、房地产,迈瑞、鹏瑞,广东深圳,先生,62,中国-广东-广州
郑家纯,13400.0,珠宝,周大福,香港,先生,76,中国-香港
郭台铭,13100.0,电子制造,鸿海,台湾台北,先生,74,中国-台湾-新北
吴光正,13100.0,房地产,会德丰,香港,先生,78,中国-上海
刘銮雄,12800.0,房地产,华人置业,香港,先生,73,中国-香港
黄世霖,12500.0,锂电池,宁德时代,福建宁德,先生,57,中国-福建-宁德
王兴,12500.0,生活服务,美团,北京,先生,45,中国-福建-龙岩
庞康,12300.0,调味品,海天味业,广东佛山,先生,68,中国-广东-佛山
杜纪川,12000.0,半导体,金士顿科技,美国洛杉矶,先生,83,中国-重庆
孙大卫,12000.0,半导体,金士顿科技,美国洛杉矶,先生,73,中国-台湾-台北
林立,11400.0,投资,立业,广东深圳,先生,61,中国-广东-河源
宗馥莉,11400.0,饮料,娃哈哈,浙江杭州,女士,未知,
吕志和,11300.0,博彩,银河,香港,先生,95,中国-香港
严彬,11300.0,饮料、地产,华彬,北京,先生,70,中国-河南-新乡
钟慧娟,10800.0,医药,翰森,江苏连云港,女士,63,
李泽楷,10600.0,电信,电讯盈科,香港,先生,58,中国-香港
蔡浩宇,10300.0,游戏,米哈游,上海,先生,37,中国-山东-济南
张聪渊,10100.0,鞋业,华利实业,广东中山,先生,76,中国-台湾-桃园
刘汉元,9860.0,新能源、农业,通威,四川成都,先生,60,中国-四川-眉山
林百里,9790.0,消费电子产品,广达电脑,台湾桃园,先生,75,中国-上海
刘永好,9720.0,农业、化工、金融,新希望,四川成都,先生,73,中国-四川-成都
蔡崇信,9580.0,电子商务、金融科技,阿里系,浙江杭州,先生,60,中国-台湾
陈东升,9440.0,保险,泰康,北京,先生,67,中国-湖北-荆门
项光达,9440.0,钢铁,青山控股,浙江温州,先生,66,中国-浙江-温州
于泳,9440.0,钼矿,鸿商产业,上海浦东,先生,未知,
张国华,9440.0,物流、钢铁,长荣集团,台湾台北,先生,69,中国-台湾-台北
邝肖卿,9370.0,房地产,新鸿基,香港,女士,95,中国-香港
孙飘扬,9150.0,医药,恒瑞,江苏连云港,先生,66,中国-江苏-镇江
周群飞,8940.0,电子器件制造,蓝思科技,湖南长沙,女士,54,中国-湖南-湘潭
王来胜,8870.0,消费电子,立讯精密,广东深圳,先生,60,中国-广东-汕头
徐浩宇,8870.0,医药,扬子江药业,江苏泰州,先生,52,中国-江苏-泰州
王来春,8730.0,消费电子,立讯精密,广东深圳,女士,57,中国-广东-汕头
朱保国,8730.0,医药,健康元,广东深圳,先生,62,中国-河南-新乡
龚虹嘉,8660.0,视频监控产品,海康威视,浙江杭州,先生,59,
岑均达,8590.0,医药,恒瑞、翰森,江苏连云港,先生,未知,
梁稳根,8450.0,重型机械,三一,北京,先生,68,中国-湖南-娄底
王玉锁,8450.0,天然气、能源化工,新奥,河北廊坊,先生,60,中国-河北-廊坊
